CustomerKey;GeographyKey;CustomerAlternateKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;NumberCarsOwned;DateFirstPurchase;CommuteDistance;BirthYear;FirstPurchaseYear
11602;135;AW00011602;Larry;Gill;Monday, October 11, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2013-07-10;2-5 Miles;1982;2013
11603;244;AW00011603;Geoffrey;Gonzalez;Friday, August 6, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2012-01-18;0-1 Miles;1982;2012
11610;269;AW00011610;Blake;Collins;Monday, October 20, 1980;S;M;£30,000;0;0;Partial College;Clerical;1;2012-01-10;0-1 Miles;1980;2012
12517;133;AW00012517;Alexa;Watson;Tuesday, February 22, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-19;2-5 Miles;1983;2013
12518;161;AW00012518;Jacquelyn;Dominguez;Sunday, March 27, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-08-01;2-5 Miles;1983;2013
12519;265;AW00012519;Casey;Gutierrez;Thursday, June 16, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2013-05-11;0-1 Miles;1983;2013
12714;157;AW00012714;Colleen;Lu;Sunday, January 14, 1979;S;F;£30,000;0;0;Partial College;Clerical;1;2013-07-19;2-5 Miles;1979;2013
12728;131;AW00012728;Jeremiah;Stewart;Sunday, December 23, 1984;S;M;£30,000;0;0;Partial College;Clerical;1;2013-04-07;1-2 Miles;1984;2013
12871;233;AW00012871;Leah;Li;Monday, April 5, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-09;2-5 Miles;1982;2013
13671;173;AW00013671;Frank;Ramos;Tuesday, August 7, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2014-01-28;1-2 Miles;1979;2014
13826;127;AW00013826;Candice;He;Wednesday, May 25, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-06;0-1 Miles;1983;2013
13830;237;AW00013830;Andrea;Cox;Monday, January 31, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-12-11;2-5 Miles;1983;2013
13838;263;AW00013838;Jill;Rubio;Friday, December 25, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-09-11;2-5 Miles;1981;2013
14838;121;AW00014838;Darren;Alvarez;Sunday, January 23, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2011-11-15;0-1 Miles;1983;2011
14839;238;AW00014839;Natasha;Sanz;Monday, November 15, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-06-01;2-5 Miles;1982;2013
14840;277;AW00014840;Autumn;Zhu;Friday, April 22, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-02-21;2-5 Miles;1983;2013
14848;186;AW00014848;George;Louverdis;Monday, March 9, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2012-05-11;2-5 Miles;1981;2012
14849;142;AW00014849;Dwayne;Martin;Friday, April 10, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-04-01;0-1 Miles;1981;2013
14991;272;AW00014991;Edwin;Zhao;Tuesday, August 25, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2011-07-19;0-1 Miles;1981;2011
16317;263;AW00016317;Joel;Raman;Wednesday, March 23, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2012-02-17;0-1 Miles;1983;2012
16452;232;AW00016452;Cassie;Luo;Saturday, May 21, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2012-03-04;0-1 Miles;1983;2012
16453;271;AW00016453;Mayra;Chandra;Thursday, October 7, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-04-10;2-5 Miles;1982;2013
16458;132;AW00016458;Michele;Ruiz;Friday, June 18, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-03-27;2-5 Miles;1982;2013
16460;277;AW00016460;Jodi;Xu;Monday, May 17, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-06-15;2-5 Miles;1982;2013
16461;279;AW00016461;Rosa;Wu;Wednesday, August 5, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2012-03-01;0-1 Miles;1981;2012
18038;207;AW00018038;Kelli;Kumar;Friday, November 14, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2011-08-11;2-5 Miles;1980;2011
18048;229;AW00018048;Alisha;Sun;Friday, April 4, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-18;1-2 Miles;1980;2013
19371;168;AW00019371;Roy;Mehta;Sunday, December 5, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2013-10-31;2-5 Miles;1982;2013
19377;121;AW00019377;Dominic;Chandra;Tuesday, August 25, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2014-01-20;2-5 Miles;1981;2014
19380;183;AW00019380;Marshall;Luo;Wednesday, January 7, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2012-08-28;2-5 Miles;1981;2012
19381;222;AW00019381;Brandi;Romero;Friday, July 11, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2012-09-20;2-5 Miles;1980;2012
19386;183;AW00019386;Allen;Martinez;Sunday, December 23, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2012-09-07;2-5 Miles;1979;2012
19390;223;AW00019390;Terrance;Perez;Sunday, April 1, 1984;S;M;£30,000;0;0;Partial College;Clerical;1;2013-08-02;1-2 Miles;1984;2013
19509;131;AW00019509;Nancy;Suri;Saturday, July 18, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-02;2-5 Miles;1981;2013
19516;207;AW00019516;Kaitlyn;Griffin;Tuesday, July 8, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-03-24;0-1 Miles;1980;2013
19517;222;AW00019517;Max;Gomez;Saturday, March 21, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2012-12-14;2-5 Miles;1981;2012
19518;159;AW00019518;Clifford;Arun;Wednesday, July 9, 1980;S;M;£30,000;0;0;Partial College;Clerical;1;2011-12-16;2-5 Miles;1980;2011
20948;209;AW00020948;Xavier;White;Monday, January 5, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-03-24;0-1 Miles;1981;2013
20955;208;AW00020955;Dawn;Pal;Saturday, March 8, 1986;S;F;£30,000;0;0;Partial College;Clerical;1;2013-12-03;2-5 Miles;1986;2013
20958;178;AW00020958;Gerald;Alonso;Wednesday, March 25, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-01-29;0-1 Miles;1981;2013
